Nombre,Referencia interna,Código de barras,Categoría de producto,Coste,Precio de venta,Unidad SAT,precio_venta_5%,precio_venta_10%
/BOTAS DE SEGURIDAD DIELECTRICA # 8 1/2  USZS85 URREA,USZS85,660731684414,URREA,1044.0,1514.0,Pieza,1589.7,1665.4
/BOTAS DE SEGURIDAD DIELECTRICA # 9  USZS9 URREA,USZS9,660731684421,URREA,1044.0,1514.0,Pieza,1589.7,1665.4
/BOTAS DE SEGURIDAD DIELECTRICA TOP CONFORT # 12  USZC12 URREA,USZC12,660731696929,URREA,1252.0,1815.0,Pieza,1905.75,1996.5000000000002
/BOTAS DE SEGURIDAD DIELECTRICA TOP CONFORT # 5  USZC5 URREA,USZC5,660731688221,URREA,1252.0,1815.0,Pieza,1905.75,1996.5000000000002
/BOTAS DE SEGURIDAD DIELECTRICA TOP CONFORT 31,USZC11,660731696912,URREA,1252.0,1815.0,Pieza,1905.75,1996.5000000000002
/BOTAS DE SEGURIDAD NEGRAS CASQUILLO ACERO 24  137510 SURTEK,137510,660731375107,SURTEK,794.0,1151.0,Pieza,1208.55,1266.1000000000001
/BOTAS DE SEGURIDAD NEGRAS CASQUILLO ACERO 25  137511 SURTEK,137511,660731375114,SURTEK,794.0,1151.0,Pieza,1208.55,1266.1000000000001
/BOTAS DE SEGURIDAD NEGRAS CASQUILLO ACERO 26.5  137513 SURTEK,137513,660731375138,SURTEK,794.0,1151.0,Pieza,1208.55,1266.1000000000001
/BOTAS DE SEGURIDAD NEGRAS CASQUILLO ACERO 27.5  137515 SURTEK,137515,660731375152,SURTEK,794.0,1151.0,Pieza,1208.55,1266.1000000000001
/BOTAS DE SEGURIDAD NEGRAS CASQUILLO ACERO 28.5  137517 SURTEK,137517,660731375176,SURTEK,794.0,1151.0,Pieza,1208.55,1266.1000000000001
/BOTAS DE SEGURIDAD NEGRAS CASQUILLO ACERO 29  137518 SURTEK,137518,660731375183,SURTEK,794.0,1151.0,Pieza,1208.55,1266.1000000000001
/BOTAS DE SEGURIDAD NEGRAS CASQUILLO ACERO 30  137519 SURTEK,137519,660731375190,SURTEK,794.0,1151.0,Pieza,1208.55,1266.1000000000001
/BOTAS DE SEGURIDAD PARA MUJER #2  USZM2 URREA,USZM2,660731910247,URREA,1011.0,1466.0,Pieza,1539.3,1612.6000000000001
/BOTAS DE SEGURIDAD PARA MUJER #3  USZM3 URREA,USZM3,660731910254,URREA,1011.0,1466.0,Pieza,1539.3,1612.6000000000001
/BOTAS DE SEGURIDAD PARA MUJER #4  USZM4 URREA,USZM4,660731910261,URREA,1011.0,1466.0,Pieza,1539.3,1612.6000000000001
/BOTAS DE SEGURIDAD PARA MUJER #5  USZM5 URREA,USZM5,660731910278,URREA,1011.0,1466.0,Pieza,1539.3,1612.6000000000001
/BOTAS DE SEGURIDAD PARA MUJER #6  USZM6 URREA,USZM6,660731910285,URREA,1011.0,1466.0,Pieza,1539.3,1612.6000000000001
/BOTAS DE SEGURIDAD PARA MUJER #7  USZM7 URREA,USZM7,660731910292,URREA,1011.0,1466.0,Pieza,1539.3,1612.6000000000001
/BOTAS DE SEGURIDAD TIPO ROPER 24  USZP4 URREA,USZP4,660731630381,URREA,1137.0,1649.0,Pieza,1731.45,1813.9
/BOTAS DE SEGURIDAD TIPO ROPER 25,USZP5,660731630398,URREA,1137.0,1649.0,Pieza,1731.45,1813.9
/BOTAS DE SEGURIDAD TIPO ROPER 26,USZP6,660731630404,URREA,1137.0,1649.0,Pieza,1731.45,1813.9
/BOTAS DE SEGURIDAD TIPO ROPER 26.5,USZP65,660731630411,URREA,1137.0,1649.0,Pieza,1731.45,1813.9
/BOTAS DE SEGURIDAD TIPO ROPER 27  USZP7 URREA,USZP7,660731630428,URREA,1137.0,1649.0,Pieza,1731.45,1813.9
/BOTAS DE SEGURIDAD TIPO ROPER 28  USZP8 URREA,USZP8,660731630442,URREA,1137.0,1649.0,Pieza,1731.45,1813.9
/BOTAS DE SEGURIDAD TIPO ROPER 28.5  USZP85 URREA,USZP85,660731630459,URREA,1137.0,1649.0,Pieza,1731.45,1813.9
/BOTAS DE SEGURIDAD TIPO ROPER 29  USZP9 URREA,USZP9,660731630466,URREA,1137.0,1649.0,Pieza,1731.45,1813.9
/BOTAS DE SEGURIDAD TIPO ROPER 30  USZP10 URREA,USZP10,660731630473,URREA,1137.0,1649.0,Pieza,1731.45,1813.9
/BOTAS DE SEGURIDAD ULTRA LIGERAS 25  USZL5 URREA,USZL5,660731629392,URREA,1119.0,1623.0,Pieza,1704.15,1785.3000000000002
/BOTAS DE SEGURIDAD ULTRA LIGERAS 26  USZL6 URREA,USZL6,660731629408,URREA,1119.0,1623.0,Pieza,1704.15,1785.3000000000002
/BOTAS DE SEGURIDAD ULTRA LIGERAS 26.5  USZL65 URREA,USZL65,660731629415,URREA,1119.0,1623.0,Pieza,1704.15,1785.3000000000002
/BOTAS DE SEGURIDAD ULTRA LIGERAS 27.5  USZL75 URREA,USZL75,660731629446,URREA,1119.0,1623.0,Pieza,1704.15,1785.3000000000002
/BOTAS DE SEGURIDAD ULTRA LIGERAS 28  USZL8 URREA,USZL8,660731629453,URREA,1119.0,1623.0,Pieza,1704.15,1785.3000000000002
/BOTAS DE SEGURIDAD ULTRA LIGERAS 28.5  USZL85 URREA,USZL85,660731629460,URREA,1119.0,1623.0,Pieza,1704.15,1785.3000000000002
/BOTAS DE SEGURIDAD ULTRA LIGERAS 30  USZL10 URREA,USZL10,660731629484,URREA,1119.0,1623.0,Pieza,1704.15,1785.3000000000002
/BOTAS DE SEGURIDAD ULTRA LIGERAS NO.29,USZL9,660731629477,URREA,1119.0,1623.0,Pieza,1704.15,1785.3000000000002
/BOTAS SEGURIDAD #10  137588 SURTEK,137588,660731375886,SURTEK,696.0,1009.0,Pieza,1059.45,1109.9
/BOTAS SEGURIDAD #2  137577 SURTEK,137577,660731375770,SURTEK,696.0,1009.0,Pieza,1059.45,1109.9
/BOTAS SEGURIDAD #3  137578 SURTEK,137578,660731375787,SURTEK,696.0,1009.0,Pieza,1059.45,1109.9
/BOTAS SEGURIDAD #4  137579 SURTEK,137579,660731375794,SURTEK,696.0,1009.0,Pieza,1059.45,1109.9
/BOTAS SEGURIDAD #5  137580 SURTEK,137580,660731375800,SURTEK,696.0,1009.0,Pieza,1059.45,1109.9
/BOTAS SEGURIDAD #6  137581 SURTEK,137581,660731375817,SURTEK,696.0,1009.0,Pieza,1059.45,1109.9
